platform,appid,app_name,monetization_model,recommendation_id,language,review_text,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,steam_purchase,received_for_free,written_during_early_access,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever_m,author_playtime_last_two_weeks_m,author_playtime_at_review_m,author_last_played,monetization_flag
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203632301,english,"game screeen stops always , i cant play it anymore",2025-09-05T19:35:09+00:00,2025-09-05T19:35:09+00:00,FALSE,0,0,0.5,FALSE,TRUE,FALSE,76561199678970480,0,1,58626,2930,58624,1757101038,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203631975,english,"?Ÿ??ÑÅ?»?µ Ñ‚?????? ?º?°?º ???°Ñ‡?°?» ?¸??Ñ€?°Ñ‚ÑŒ, ???????? ?¿?µÑ€?µÑÅÑ‚?°?»?¸ ?¸??Ñ‚?µÑ€?µÑÅ?????°Ñ‚ÑŒÑÅÑè ?´?µ??ÑƒÑˆ?º?¸. ??Ñ‚?? ?µ?´?¸??ÑÅÑ‚???µ?????°Ñè ?¿Ñ€?¸Ñ‡?¸???° ?¿?? ?º??Ñ‚??Ñ€???? Ñè ?¿Ñ€???´???»?¶?°Ñ? ?¸??Ñ€?°Ñ‚ÑŒ ?? ?´??Ñ‚Ñƒ",2025-09-05T19:31:00+00:00,2025-09-05T19:31:00+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561199350417034,0,1,11524,2750,11524,1757003518,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203628731,english,??ÑŒ???µÑŒ?????µ??ÑŒ??Ñƒ???µÑŒÑ‚((9(,2025-09-05T18:50:10+00:00,2025-09-05T18:50:10+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561199147173315,11,1,512,407,512,1757087702,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203628480,english,Well Well Well,2025-09-05T18:46:37+00:00,2025-09-05T18:46:37+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561199888492018,12,1,1058,1026,1058,1756621222,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203627247,english,,2025-09-05T18:29:50+00:00,2025-09-05T18:29:50+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561199250398069,61,16,1165,1165,1109,1757100771,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203626641,english,i lost 5k hours in my life,2025-09-05T18:21:55+00:00,2025-09-05T18:21:55+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561199583540227,3,2,105063,1405,105061,1757096642,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203626197,english,To hard but some people will find this funny,2025-09-05T18:17:01+00:00,2025-09-05T18:17:01+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561199888356693,12,1,1605,1605,1605,1756638147,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203625965,english,aaa,2025-09-05T18:14:16+00:00,2025-09-05T18:14:16+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198213578317,1,1,5468,70,5400,1757100159,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203623216,english,GOOD,2025-09-05T17:39:11+00:00,2025-09-05T17:39:11+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561199402988174,0,2,2088,521,1972,1757100845,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203619748,english,GOOD GAME,2025-09-05T16:55:47+00:00,2025-09-05T16:55:47+00:00,TRUE,0,0,0.5,FALSE,TRUE,FALSE,76561199844520652,0,1,2745,2467,2637,1757097800,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203619262,english,gg,2025-09-05T16:49:43+00:00,2025-09-05T16:49:43+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198139536151,0,3,270382,3213,270326,1757094328,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203617430,english,GG ALWAYS,2025-09-05T16:27:17+00:00,2025-09-05T16:27:17+00:00,TRUE,0,0,0.5,FALSE,TRUE,FALSE,76561199879178202,0,1,8841,4555,8716,1757097096,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203617368,english,good game,2025-09-05T16:26:34+00:00,2025-09-05T16:26:34+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198278021504,0,1,113043,1351,112862,1757099315,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203617101,english,exciting,2025-09-05T16:22:58+00:00,2025-09-05T16:22:58+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198192129389,0,1,28380,1472,28263,1757096353,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203615728,english,good geam,2025-09-05T16:06:15+00:00,2025-09-05T16:06:15+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561199489581475,3,1,376,0,376,1715878959,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203615700,english,I hate this game,2025-09-05T16:05:58+00:00,2025-09-05T16:05:58+00:00,FALSE,1,0,0.513513505458831787,FALSE,FALSE,FALSE,76561199657652672,0,1,318946,0,318946,1734886912,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203614861,english,The game allows you to destroy your mental health at an incredible duration due to it being an addicting game. Way worse than drugs or alcohol,2025-09-05T15:56:15+00:00,2025-09-05T15:56:15+00:00,FALSE,0,0,0.5,FALSE,TRUE,FALSE,76561198152452568,0,2,255434,1485,255352,1757093367,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203614250,english,play only turbo if you want to have fun,2025-09-05T15:49:40+00:00,2025-09-05T15:49:40+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198356896630,12,1,208173,0,208173,1751474426,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203614183,english,"?ù—œ?ù—? ?ù˜†?ù—??ù˜‚'?ù—¿?ù—? ?ù—??ù—??ù—± ?ù˜‚?ù—? ?ù˜„?ù—¶?ù˜Å?ù—µ ?ù˜†?ù—??ù˜‚?ù—¿ ?ù—??ù—¶?ù—??ù—? ?ù—®?ù—»?ù—± ?ù˜„?ù—®?ù—»?ù˜Å ?ù˜Å?ù—? ?ù—¿?ù˜‚?ù—¶?ù—» ?ù—¶?ù˜Å, ?ù—¶?ù—»?ù˜€?ù˜Å?ù—®?ù—??ù—? ?ù—¶?ù˜Å âœ“
âŸ¨ ?ùŸ??ùŸ¬ / ?ùŸ??ùŸ¬ âŸ©",2025-09-05T15:48:41+00:00,2025-09-05T15:48:41+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561199687937457,10,1,29565,6166,29504,1757100347,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203614110,english,no.,2025-09-05T15:47:50+00:00,2025-09-05T15:47:50+00:00,FALSE,0,0,0.5,FALSE,FALSE,FALSE,76561198256327290,36,7,268158,595,268158,1757086970,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203613913,english,sadsadsadsadsa,2025-09-05T15:45:19+00:00,2025-09-05T15:45:19+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198158798062,0,2,25539,1074,25441,1757093012,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203612968,english,Hon best moba,2025-09-05T15:34:03+00:00,2025-09-05T15:34:03+00:00,FALSE,0,0,0.5,FALSE,FALSE,FALSE,76561197960400764,0,11,25029,1640,25029,1757050708,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203612934,english,cool,2025-09-05T15:33:38+00:00,2025-09-05T15:33:38+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198073191661,0,2,51237,3052,51089,1757095245,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203612589,english,too much smurfs,2025-09-05T15:29:40+00:00,2025-09-05T15:29:40+00:00,FALSE,0,0,0.5,FALSE,FALSE,FALSE,76561198166942259,0,1,144037,694,144037,1757086150,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203612192,english,still undefeated game.. dota 2.. long lived game..,2025-09-05T15:25:10+00:00,2025-09-05T15:25:10+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198200020174,0,1,102897,7885,102689,1757098376,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203610762,english,come join us,2025-09-05T15:08:09+00:00,2025-09-05T15:08:09+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198343543499,4,1,328356,1089,328180,1757095625,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203608943,english,bapok bestnya !,2025-09-05T14:45:57+00:00,2025-09-05T14:45:57+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198183739079,0,1,304964,732,304851,1757090432,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203608181,english,zxc,2025-09-05T14:35:49+00:00,2025-09-05T14:35:49+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198165783183,2,3,16477,800,16376,1757094735,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203607468,english,unbalance game play i will never play this game again,2025-09-05T14:27:43+00:00,2025-09-05T14:27:43+00:00,FALSE,0,0,0.5,FALSE,FALSE,FALSE,76561198969280791,0,1,40464,2093,40464,1757082418,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203606205,english,This is the best game to burn your soul.,2025-09-05T14:12:39+00:00,2025-09-05T14:12:39+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198118559380,0,1,152601,4143,152514,1757086729,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203603405,english,The best MOBA ever and will be,2025-09-05T13:36:00+00:00,2025-09-05T13:36:00+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198091214966,0,1,784778,19,784759,1757099755,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203603118,english,this is a fun game that will make u cry when u lose and IF u win u feel like u hit the jackpot,2025-09-05T13:32:03+00:00,2025-09-05T13:32:03+00:00,TRUE,0,0,0.5,FALSE,TRUE,FALSE,76561199069216793,0,1,60016,1727,59641,1757101669,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203603117,english,Just dont,2025-09-05T13:32:03+00:00,2025-09-05T13:32:03+00:00,FALSE,0,0,0.5,FALSE,FALSE,FALSE,76561198145212122,31,5,6765,677,6716,1757082033,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203601019,english,good,2025-09-05T13:03:34+00:00,2025-09-05T13:03:34+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561199838460359,0,5,199,199,185,1757087600,FALSE
